participant_id,age,gender,race_ethnicity,education_level,political_affiliation,vaccine_hesitancy,trust_in_science,trust_in_government,ad_engagement_score,baseline_attitude_score,ad_group,ad_group_y,vaccine_uptake,post_attitude_score
P00001,45,Male,White,High School,Moderate,5,3,5,3.6,1,Control,Control,1,3
P00002,38,Male,White,High School,Liberal,5,1,1,3.5,1,Ad_Reason,Ad_Reason,1,2
P00003,47,Male,Hispanic,Bachelor,Liberal,4,4,2,1.4,3,Control,Control,0,1
P00004,58,Male,White,Bachelor,Moderate,1,5,1,3.4,1,Control,Control,1,2
P00006,37,Female,White,Master,Moderate,4,1,3,5.0,4,Ad_Reason,Ad_Reason,1,3
P00007,58,Female,White,Master,Moderate,1,2,3,3.0,2,Control,Control,1,3
P00008,49,Female,Hispanic,Master,Moderate,4,5,1,2.8,2,Ad_Emotion,Ad_Emotion,1,3
P00009,34,Male,White,High School,Liberal,4,1,3,4.5,2,Control,Control,0,4
P00010,46,Male,Hispanic,Bachelor,Moderate,5,4,2,4.2,4,Control,Control,0,4
P00011,34,Male,Hispanic,High School,Conservative,4,1,1,2.8,5,Control,Control,0,4
P00012,34,Other,White,High School,Conservative,5,4,3,1.8,2,Control,Control,0,4
P00013,42,Female,White,Bachelor,Conservative,1,4,2,1.2,1,Ad_Reason,Ad_Reason,0,4
P00014,18,Female,Hispanic,High School,Moderate,1,4,1,2.0,5,Control,Control,1,5
P00015,19,Male,White,High School,Liberal,5,5,1,3.3,5,Ad_Emotion,Ad_Emotion,0,2
P00016,33,Female,White,Master,Moderate,3,4,3,2.9,5,Ad_Reason,Ad_Reason,1,4
P00018,43,Female,White,Not Applicable,Liberal,1,1,1,2.6,5,Ad_Emotion,Ad_Emotion,0,2
P00019,29,Female,Hispanic,Bachelor,Liberal,4,4,1,4.7,2,Ad_Emotion,Ad_Emotion,0,4
P00020,23,Female,White,Not Applicable,Liberal,3,3,5,4.1,1,Ad_Emotion,Ad_Emotion,0,4
P00021,57,Female,White,High School,Conservative,4,1,1,4.8,1,Ad_Reason,Ad_Reason,0,5
P00022,37,Male,Hispanic,Bachelor,Moderate,3,3,5,2.3,1,Ad_Reason,Ad_Reason,1,4
P00023,40,Female,Asian,High School,Liberal,2,3,5,3.8,1,Ad_Emotion,Ad_Emotion,1,4
P00024,22,Female,White,Master,Conservative,3,2,2,3.7,5,Ad_Emotion,Ad_Emotion,1,3
P00025,33,Male,Asian,High School,Moderate,1,5,4,4.5,5,Ad_Reason,Ad_Reason,1,2
P00026,41,Male,White,High School,Liberal,5,2,5,3.0,2,Ad_Reason,Ad_Reason,1,4
P00027,26,Male,Asian,Master,Liberal,5,5,2,2.2,1,Ad_Reason,Ad_Reason,0,4
P00028,44,Male,White,High School,Liberal,4,2,3,2.1,3,Control,Control,1,3
P00029,32,Male,White,High School,Moderate,2,1,5,3.0,1,Control,Control,0,2
P00030,36,Female,Black,Bachelor,Liberal,4,3,4,3.1,4,Control,Control,0,4
P00031,32,Male,White,Bachelor,Moderate,3,1,3,3.3,3,Ad_Emotion,Ad_Emotion,0,4
P00032,62,Male,Other,High School,Conservative,5,5,5,1.6,4,Control,Control,1,1
P00033,39,Female,White,Bachelor,Moderate,3,3,5,4.3,3,Ad_Emotion,Ad_Emotion,0,2
P00034,27,Female,Hispanic,High School,Liberal,5,3,4,1.6,2,Ad_Emotion,Ad_Emotion,0,3
P00036,25,Male,White,Master,Conservative,5,1,4,2.7,2,Ad_Emotion,Ad_Emotion,1,3
P00037,42,Female,Hispanic,Bachelor,Liberal,1,3,2,4.8,3,Control,Control,1,3
P00038,18,Female,White,Bachelor,Liberal,3,1,2,1.3,1,Control,Control,0,4
P00039,24,Male,Hispanic,High School,Moderate,4,1,4,4.2,2,Ad_Reason,Ad_Reason,0,2
P00040,42,Male,White,High School,Moderate,2,1,4,2.0,3,Control,Control,0,2
P00041,48,Female,Asian,High School,Liberal,4,3,4,1.9,1,Ad_Reason,Ad_Reason,0,3
P00042,42,Female,White,Bachelor,Conservative,3,4,4,4.7,5,Control,Control,0,3
P00043,38,Female,White,Bachelor,Moderate,2,2,4,3.8,3,Control,Control,1,3
P00044,36,Female,White,Not Applicable,Conservative,4,5,5,1.5,4,Ad_Reason,Ad_Reason,1,3
P00045,22,Female,White,High School,Liberal,2,1,3,3.2,4,Ad_Reason,Ad_Reason,1,3
P00046,31,Female,Asian,Bachelor,Conservative,3,3,2,4.4,4,Control,Control,1,2
P00047,34,Male,Black,Bachelor,Liberal,5,5,2,3.6,1,Ad_Emotion,Ad_Emotion,0,4
P00048,52,Male,Black,Bachelor,Moderate,3,4,3,3.0,1,Ad_Reason,Ad_Reason,1,4
P00049,44,Male,White,Master,Moderate,1,4,4,4.2,2,Ad_Emotion,Ad_Emotion,0,3
P00050,18,Female,White,High School,Liberal,2,3,3,3.4,1,Ad_Emotion,Ad_Emotion,1,4
P00051,43,Female,White,High School,Conservative,3,1,4,1.3,3,Ad_Emotion,Ad_Emotion,1,4
P00052,35,Female,Hispanic,Bachelor,Liberal,5,4,2,3.1,4,Ad_Reason,Ad_Reason,0,1
P00053,31,Male,Other,High School,Moderate,5,4,1,3.5,5,Ad_Emotion,Ad_Emotion,0,4
P00054,47,Female,White,High School,Liberal,3,4,2,3.2,4,Ad_Reason,Ad_Reason,1,3
P00055,52,Male,White,High School,Conservative,4,3,2,2.6,3,Ad_Emotion,Ad_Emotion,1,4
P00056,51,Male,White,High School,Liberal,3,5,1,3.5,5,Control,Control,0,2
P00057,29,Female,Black,Bachelor,Conservative,5,2,3,3.2,2,Control,Control,1,2
P00058,36,Female,Black,High School,Conservative,3,3,5,1.0,1,Ad_Reason,Ad_Reason,0,3
P00059,43,Other,Asian,Bachelor,Conservative,1,1,4,1.7,3,Control,Control,1,4
P00060,51,Male,White,Bachelor,Liberal,4,3,4,3.3,1,Control,Control,0,4
P00061,34,Female,Asian,Bachelor,Moderate,3,3,2,3.7,2,Ad_Emotion,Ad_Emotion,1,4
P00062,37,Male,Black,Not Applicable,Liberal,5,2,1,2.2,5,Ad_Reason,Ad_Reason,1,3
P00063,26,Male,White,High School,Conservative,3,2,2,3.7,3,Ad_Emotion,Ad_Emotion,0,3
P00064,25,Female,White,Not Applicable,Conservative,3,2,2,3.5,5,Ad_Emotion,Ad_Emotion,1,2
